10001,2024-06-01,08:00,17:00
10002,2024-06-02,08:10,17:00
10003,2024-06-03,08:05,17:00
10004,2024-06-04,08:00,17:00
10005,2024-06-05,08:02,17:00
10006,2024-06-06,08:00,17:00
10007,2024-06-07,08:07,17:00
10008,2024-06-08,08:05,17:00
10009,2024-06-09,08:00,17:00
10010,2024-06-10,08:04,17:00
10011,2024-06-11,08:06,17:00
10012,2024-06-12,08:00,17:00
10013,2024-06-13,08:03,17:00
10014,2024-06-14,08:00,17:00
10015,2024-06-15,08:05,17:00
10016,2024-06-16,08:02,17:00
10017,2024-06-17,08:08,17:00
10018,2024-06-18,08:00,17:00
10019,2024-06-19,08:04,17:00
10020,2024-06-20,08:06,17:00
10021,2024-06-21,08:00,17:00
10022,2024-06-22,08:03,17:00
10023,2024-06-23,08:05,17:00
10024,2024-06-24,08:00,17:00
10025,2024-06-25,08:04,17:00
10026,2024-06-26,08:06,17:00
10027,2024-06-27,08:00,17:00
10028,2024-06-28,08:03,17:00
10029,2024-06-29,08:05,17:00
10030,2024-06-30,08:00,17:00
10031,2024-07-01,08:04,17:00
10032,2024-07-02,08:06,17:00
10033,2024-07-03,08:00,17:00
10034,2024-07-04,08:05,17:00
